NºUSP,Possui pedido de Bolsa de Estudos em andamento? (A concessão de Bolsa de Estudos implicará no cancelamento da monitoria a partir do início da vigência da bolsa),Pretende se inscrever no PEEG? (O acúmulo das duas monitorias não é permitido. Caso o aluno seja selecionado nas duas modalidades precisará optar por uma delas),"Departamento de Matemática   
(Início da monitoria em 05/08/2024)","Departamento de Matemática Aplicada e Estatística  
(Início da monitoria em 05/08/2024)","Departamento de Ciências de Computação
(Início da monitoria em 05/08/2024)","Departamento de Sistemas de Computação
(Início da monitoria em 01/09/2024)",Tem interesse na monitoria voluntária (sem recebimento de bolsa)?,Média ponderada com reprovações
14560074,Não,Não,,,"02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I",,Sim,7.7
12680075,Não,Não,,"03-SME0142 - Álgebra Linear e Aplicações (T1), 04-SME0142 - Álgebra Linear e Aplicações (T2), 11-SME0800 - Probabilidade I, 12-SME0809 - Inferência Bayesiana (T1), 13-SME0820 - Modelos de Regressão e Aprendizado Supervisionado 1, 14-SME0828 - Introdução à Ciência de Dados, 15-SME0320 - Estatística I, 19-SME0822 - Análise Multivariada e Aprendizado Não Supervisionado, 20-SME0823 - Modelos de Regressão e Aprendizado Supervisionado","01-SCC0122 - Estrutura de Dados, 12-SCC0275 - Introdução a Ciencia de Dados, 18-SCC0220 - Laboratório de Introdução à Ciência da Computação II, 20-SCC0223 - Estruturas de Dados I",,Não,7.7
10740076,Não,Não,,,"07-SCC0241 - Laboratório de Bases de Dados, 08-SCC0244 - Mineração a partir de Grandes Bases de Dados",,Não,0
10740076,Não,Não,,,"07-SCC0241 - Laboratório de Bases de Dados, 08-SCC0244 - Mineração a partir de Grandes Bases de Dados",,Não,8.8
13820077,Não,Não,,,14-SCC0502 - Algoritmos e Estruturas de Dados I,,Não,6.5
14570078,Não,Sim,,,18-SCC0220 - Laboratório de Introdução à Ciência da Computação II,,Não,8.1
53400026,Não,Não,,"11-SME0800 - Probabilidade I, 15-SME0320 - Estatística I",,,Não,7.4
14560079,Sim,Não,"03-SLC0608 - Cálculo II, 08-SMA0304 - Álgebra Linear, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II, 21-SMA0804 - Álgebra Linear para Estatística",16-SME0240 - Equações Diferenciais Ordinárias,,,Não,6.6
13680080,Não,Sim,,"11-SME0800 - Probabilidade I, 12-SME0809 - Inferência Bayesiana (T1)",,,Não,8.9
13680081,Não,Não,"02-SLC0602 - Geometria Analítica, 03-SLC0608 - Cálculo II, 07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 11-SMA0353 - Cálculo I, 16-SMA0375 - Álgebra Linear, 19-SMA0501 - Cálculo I",,,,Não,8.3
14650082,Não,Sim,,15-SME0320 - Estatística I,,,Sim,7.6
13830083,Não,Sim,,,"01-SCC0122 - Estrutura de Dados, 14-SCC0502 - Algoritmos e Estruturas de Dados I, 20-SCC0223 - Estruturas de Dados I",05-SSC0541 - Sistemas Operacionais I,Não,9.1
10330084,Não,Não,"02-SLC0602 - Geometria Analítica, 03-SLC0608 - Cálculo II, 07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 09-SMA0332 - Cálculo II, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III, 14-SMA0356 - Cálculo IV, 16-SMA0375 - Álgebra Linear, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II, 21-SMA0804 - Álgebra Linear para Estatística",,,,Sim,7.3
13710085,Não,Não,,,16-SCC0604 - Programação Orientada a Objetos,03-SSC0304 - Introdução à Programação para Engenharias (T1),Não,7
15490086,Não,Sim,"02-SLC0602 - Geometria Analítica, 07-SMA0300 - Geometria Analítica, 11-SMA0353 - Cálculo I, 19-SMA0501 - Cálculo I",,,,Sim,0
14560087,Não,Sim,"07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III",,,,Não,8.4
14570088,Sim,Sim,"02-SLC0602 - Geometria Analítica, 03-SLC0608 - Cálculo II, 07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 09-SMA0332 - Cálculo II, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III, 16-SMA0375 - Álgebra Linear, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II",16-SME0240 - Equações Diferenciais Ordinárias,01-SCC0122 - Estrutura de Dados,03-SSC0304 - Introdução à Programação para Engenharias (T1),Não,9
14610089,Não,Sim,"11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II",,,03-SSC0304 - Introdução à Programação para Engenharias (T1),Não,8.4
11220090,Não,Não,,,19-SCC0607 - Estruturas de Dados III,,Não,8.7
14750091,Não,Sim,,,"02-SCC0201 - Introdução a Ciências de Computação II (T2), 16-SCC0604 - Programação Orientada a Objetos","03-SSC0304 - Introdução à Programação para Engenharias (T1), 07-SSC0902 - Organização e Arquitetura de Computadores (T1)",Não,8.3
13670092,Não,Sim,"08-SMA0304 - Álgebra Linear, 16-SMA0375 - Álgebra Linear",09-SME0306 - Métodos Numéricos e Computacionais II (T2),,,Não,7.4
14140093,Não,Sim,"04-SLC0613 - Estágio Supervisionado em Ensino de Matemática II, 15-SMA0371 - Estágio Supervisionado em Ensino de Matemática II",,,,Não,PÓS
11870094,Não,Sim,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I, 18-SCC0220 - Laboratório de Introdução à Ciência da Computação II, 20-SCC0223 - Estruturas de Dados I",06-SSC0603 - Estrutura de Dados I,Não,7.8
12670095,Não,Sim,06-SMA0180 - Matemática Discreta I,,,,Não,9.2
12540096,Não,Sim,,,"14-SCC0502 - Algoritmos e Estruturas de Dados I, 20-SCC0223 - Estruturas de Dados I","03-SSC0304 - Introdução à Programação para Engenharias (T1), 05-SSC0541 - Sistemas Operacionais I",Não,9.1
